"","param","est_se_nonadhd","est_se_adhd","naughty"
"1","w.selfeff =~ WC1_1","1.00 (0.00)","",FALSE
"2","w.selfeff =~ WC1_2","1.24 (0.09)","",FALSE
"3","w.selfeff =~ WC1_3","1.15 (0.09)","",FALSE
"4","w.selfeff =~ WC1_4","1.26 (0.09)","",FALSE
"5","w.order =~ WC2_1","1.00 (0.00)","",FALSE
"6","w.order =~ R_WC2_2","1.11 (0.12)","",FALSE
"7","w.order =~ R_WC2_3","1.29 (0.11)","",FALSE
"8","w.order =~ R_WC2_4","1.26 (0.11)","",FALSE
"9","w.duty =~ WC3_1","1.00 (0.00)","",FALSE
"10","w.duty =~ WC3_2","1.03 (0.09)","",FALSE
"11","w.duty =~ R_WC3_3","1.17 (0.13)","",FALSE
"12","w.duty =~ R_WC3_4","1.12 (0.11)","",FALSE
"13","w.achieve =~ WC4_1","1.00 (0.00)","",FALSE
"14","w.achieve =~ WC4_2","1.01 (0.09)","",FALSE
"15","w.achieve =~ R_WC4_3","0.78 (0.08)","",FALSE
"16","w.achieve =~ R_WC4_4","1.19 (0.09)","",FALSE
"17","w.selfdisc =~ WC5_1","1.00 (0.00)","",FALSE
"18","w.selfdisc =~ WC5_2","0.89 (0.08)","",FALSE
"19","w.selfdisc =~ R_WC5_3","1.32 (0.11)","",FALSE
"20","w.selfdisc =~ R_WC5_4","1.48 (0.13)","",FALSE
"21","w.caution =~ R_WC6_1","1.00 (0.00)","",FALSE
"22","w.caution =~ R_WC6_2","1.00 (0.06)","",FALSE
"23","w.caution =~ R_WC6_3","1.07 (0.06)","",FALSE
"24","w.caution =~ R_WC6_4","1.13 (0.07)","",FALSE
"25","w.selfeff ~~ w.order","0.14 (0.03)","",FALSE
"26","w.selfeff ~~ w.duty","0.14 (0.03)","",FALSE
"27","w.selfeff ~~ w.achieve","0.25 (0.04)","",FALSE
"28","w.selfeff ~~ w.selfdisc","0.20 (0.03)","",FALSE
"29","w.selfeff ~~ w.caution","0.11 (0.03)","",FALSE
"30","w.order ~~ w.duty","0.16 (0.03)","",FALSE
"31","w.order ~~ w.achieve","0.23 (0.05)","",FALSE
"32","w.order ~~ w.selfdisc","0.23 (0.04)","",FALSE
"33","w.order ~~ w.caution","0.16 (0.04)","",FALSE
"34","w.duty ~~ w.achieve","0.24 (0.04)","",FALSE
"35","w.duty ~~ w.selfdisc","0.21 (0.04)","",FALSE
"36","w.duty ~~ w.caution","0.17 (0.03)","",FALSE
"37","w.achieve ~~ w.selfdisc","0.34 (0.06)","",FALSE
"38","w.achieve ~~ w.caution","0.22 (0.04)","",FALSE
"39","w.selfdisc ~~ w.caution","0.18 (0.04)","",FALSE
"40","WC1_1 ~1 ","4.59 (0.04)","",FALSE
"41","WC1_2 ~1 ","4.40 (0.05)","",FALSE
"42","WC1_3 ~1 ","4.43 (0.05)","4.29 (0.08)",TRUE
"43","WC1_4 ~1 ","4.51 (0.05)","4.60 (0.07)",TRUE
"44","WC2_1 ~1 ","3.91 (0.08)","4.14 (0.09)",TRUE
"45","R_WC2_2 ~1 ","4.26 (0.09)","3.97 (0.11)",TRUE
"46","R_WC2_3 ~1 ","4.49 (0.07)","",FALSE
"47","R_WC2_4 ~1 ","4.46 (0.07)","",FALSE
"48","WC3_1 ~1 ","4.54 (0.05)","",FALSE
"49","WC3_2 ~1 ","4.61 (0.05)","",FALSE
"50","R_WC3_3 ~1 ","4.40 (0.06)","",FALSE
"51","R_WC3_4 ~1 ","4.58 (0.05)","",FALSE
"52","WC4_1 ~1 ","3.92 (0.08)","",FALSE
"53","WC4_2 ~1 ","4.45 (0.06)","",FALSE
"54","R_WC4_3 ~1 ","4.39 (0.07)","",FALSE
"55","R_WC4_4 ~1 ","4.18 (0.08)","",FALSE
"56","WC5_1 ~1 ","4.15 (0.06)","",FALSE
"57","WC5_2 ~1 ","4.29 (0.06)","4.38 (0.07)",TRUE
"58","R_WC5_3 ~1 ","4.28 (0.08)","",FALSE
"59","R_WC5_4 ~1 ","4.10 (0.09)","3.72 (0.12)",TRUE
"60","R_WC6_1 ~1 ","4.42 (0.07)","4.21 (0.09)",TRUE
"61","R_WC6_2 ~1 ","4.61 (0.05)","",FALSE
"62","R_WC6_3 ~1 ","4.52 (0.06)","",FALSE
"63","R_WC6_4 ~1 ","4.60 (0.06)","",FALSE
"64","w.selfeff ~1 ","0.00 (0.00)","",FALSE
"65","w.order ~1 ","0.00 (0.00)","",FALSE
"66","w.duty ~1 ","0.00 (0.00)","",FALSE
"67","w.achieve ~1 ","0.00 (0.00)","",FALSE
"68","w.selfdisc ~1 ","0.00 (0.00)","",FALSE
"69","w.caution ~1 ","0.00 (0.00)","",FALSE
